                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.80276,                0.59106,                 1.0899,                0.83065,                0.72287,                0.80982,                0.53376,                 1.3178,                 1.0585,                 1.4361,             0.00077003,             0.00077003,             0.00077003
                     96,                0.86076,                0.62658,                 1.1061,                0.84961,                0.71913,                0.79715,                0.52593,                 1.3318,                 1.1024,                 1.4673,             0.00076637,             0.00076637,             0.00076637
                     97,                0.82154,                0.58927,                 1.0708,                0.79615,                0.80454,                0.82875,                 0.5428,                 1.2874,                0.98628,                 1.4003,              0.0007627,              0.0007627,              0.0007627
                     98,                 0.7968,                0.56809,                 1.0707,                0.77881,                0.80432,                0.82209,                 0.5379,                 1.2982,                 1.0176,                  1.439,             0.00075904,             0.00075904,             0.00075904
                     99,                0.81141,                0.59553,                 1.0803,                0.81519,                0.73613,                0.78635,                0.51928,                 1.2871,                 1.1183,                 1.4405,             0.00075537,             0.00075537,             0.00075537
                    100,                 0.7801,                0.57168,                 1.0581,                0.83668,                0.68529,                0.75793,                0.49534,                 1.2947,                 1.1633,                 1.4434,              0.0007517,              0.0007517,              0.0007517
                    101,                0.79416,                0.57219,                 1.0916,                0.84874,                0.72753,                0.80221,                0.54396,                 1.2372,                 1.0733,                 1.3961,             0.00074804,             0.00074804,             0.00074804
                    102,                 0.7939,                0.59112,                 1.0989,                0.87279,                0.74575,                0.83803,                0.55295,                  1.316,                 1.0451,                 1.4356,             0.00074437,             0.00074437,             0.00074437
                    103,                0.77289,                0.57589,                 1.0777,                0.82763,                0.78622,                0.84787,                0.55178,                   1.32,                0.93047,                 1.4766,              0.0007407,              0.0007407,              0.0007407
                    104,                0.82817,                0.61046,                 1.0912,                0.83018,                0.75188,                0.81092,                0.52698,                  1.317,                 1.0056,                 1.4576,             0.00073704,             0.00073704,             0.00073704
                    105,                0.76858,                0.57565,                 1.0769,                0.83299,                0.66612,                0.77083,                0.52195,                   1.32,                 1.2309,                 1.4621,             0.00073337,             0.00073337,             0.00073337
                    106,                0.79688,                0.58203,                 1.0696,                0.77273,                0.67225,                0.76356,                0.51303,                 1.3583,                  1.223,                 1.5268,              0.0007297,              0.0007297,              0.0007297
                    107,                0.80545,                0.56811,                 1.0758,                0.77691,                0.77352,                0.78936,                0.52767,                 1.3057,                 1.0299,                 1.4689,             0.00072604,             0.00072604,             0.00072604
                    108,                0.79167,                0.56413,                 1.0576,                0.78312,                0.78448,                 0.8235,                 0.5316,                 1.3188,                0.98513,                 1.4548,             0.00072237,             0.00072237,             0.00072237
                    109,                0.76488,                0.57615,                 1.0752,                0.78606,                0.79522,                 0.8421,                0.55157,                 1.2684,                0.95248,                 1.4136,             0.00071871,             0.00071871,             0.00071871
                    110,                 0.7972,                0.60257,                  1.091,                0.79338,                0.81295,                0.85931,                0.57007,                  1.269,                0.93939,                 1.4057,             0.00071504,             0.00071504,             0.00071504
                    111,                0.77563,                0.54672,                 1.0639,                0.81966,                0.78915,                0.85799,                0.55356,                 1.3216,                0.98428,                 1.4283,             0.00071137,             0.00071137,             0.00071137
                    112,                 0.7589,                0.53646,                 1.0529,                0.82095,                0.79962,                0.83804,                0.55132,                 1.2762,                0.92001,                 1.3952,             0.00070771,             0.00070771,             0.00070771
